门店地址,lng,lat
宝山区共富路250号,121.43523702944378,31.355653261264973
宝山区呼玛路413-417号,121.45869280947927,31.34705523818288
宝山区吉浦路519号,121.4970450999562,31.318503023354747
宝山区灵石路1503-1505号,121.42981394740208,31.275254561012325
大华三路73号,121.42614344324083,31.281811728020273
友谊路223号,121.48666650658565,31.409906779413483
一二八纪念路845号,121.45532088949328,31.331981681945383
华秋路211号1层,121.38616604713025,31.328753508627017
上海市宝山区沪太路3100号1号楼103室,121.4144623706605,31.322052086016157
通河路104号,121.45666259321315,31.333801051602354
涵青路378号,121.40439014887565,31.3352505000917
电台路599弄48号,121.39871127254337,31.362168819096432
宝山区罗店镇杨南路2066号底层,121.36660690978674,31.394251820805554
宝山区铁峰路2041号-106室,121.46111682581318,31.40399815783627
上海市宝山区顾荻路332号-1,121.39656014076238,31.360379010953398
长临路566号,121.44324061713077,31.326645268285517
呼玛路696-702号,121.4505085141644,31.34389488328679
宝山区蕴川路1625弄43号,121.40992971149791,31.461938047944077
"宝山区塘西街407,409,411,413号",121.34701443093596,31.42773921481224
宝山区绥化路45号--47号,121.44286014342522,31.413417130392723
宝山区长江西路1869号,121.45146946839895,31.339375713676016
宝山区东太路370、372、374号,121.36897204129616,31.390728177376445
宝山区菊盛路881号、883号、885号,121.3753539243341,31.366315174435293
宝山区锦秋路1393-1397号,121.38497830578834,31.324339705196945
宝山区牡丹江路487号,121.50155877343182,31.390776631767437
宝山区牡丹江路1536号,121.49067071956587,31.405741940874282
上海宝山区牡丹江路184号一层,121.5039434439844,31.38380778678966
上海市宝山区申浦路284号,121.41982856391256,31.43131945796615
上海市宝山区古莲路371号,121.40773708069729,31.4548710471775
上海市宝山区松兰路364号、368号,121.45445192084465,31.379870663219158
上海市宝山区锦秋路1528号1层-6-7,121.38221218058061,31.323495213933104
宝山区域统筹,121.4965630135246,31.41027947347614
长江南路618号,121.48751879639588,31.342460702259718
南大路120号-1和120号-2,121.41063050028728,31.30566459538332
华灵路760号,121.42942522006553,31.284325064210734
虎林路231-4号,121.46606441229083,31.3398293296978
共康东路312号,121.46666346528626,31.329283298969706
共江路193号,121.463529351023,31.337579306397288
锦秋路695弄10－11号,121.39657469600654,31.327105149566368
长江路66弄372号,121.50498779600419,31.35779092591692
南华苑路115号,121.42806450550614,31.27638666711556
华灵路1051号2楼（大润发）,121.42771903517311,31.286472839134422
牡丹江路1258号（易买得）,121.4939122037952,31.399797471735944
逸仙路1321弄1支弄36号,121.49655340165563,31.322978361098468
丹霞山路50弄1号宝山天街1F56、57号,121.36983195861849,31.362916882387825
行知路360号,121.42242272829311,31.29007714568751
上海市宝山区共康服饰城2楼,121.44235054548909,31.328736612270347
上海市宝山区永清路251-1号,121.50384798465106,31.39302955709256
上海市宝山区殷高路333号333号长江国际商业购物中心F1,121.4919983639062,31.326186550355512
上海市宝山区长逸路15号建配龙家具广场136号商铺（近逸仙路）,121.5004107255155,31.345300676417683
上海市宝山区华和路234号一层,121.4122606175674,31.297046411085404
上海市宝山区杨鑫路222号1层224号1层,121.45412313114663,31.37614721660999
上海市宝山区聚丰园路398-400号101室,121.38545816172734,31.32001493083075
上海市宝山区高逸路182号、184号-1,121.49577432913432,31.33172081344368
上海市宝山区大华二路64号,121.4216829009429,31.27864398777675
上海市宝山区锦秋路1130号、1132号,121.39138121546335,31.325268062009943
上海市宝山区真华路959号一楼、961-1号一楼,121.41722583418898,31.27967964163216
上海市宝山区松兰路969号101室,121.45066705340894,31.387474904178433
上海市宝山区共富路113-115号101室,121.43919753806433,31.357017997288313
上海市宝山区呼兰路693号,121.45192792400579,31.349360883657706
上海市宝山区海江路426-448号1层MSGC38铺位,121.49842825508551,31.401882796372448
城桥镇人民路78号,121.40348531178631,31.628577101689935
堡镇镇堡镇中路156号,121.46877021759798,31.661559671283833
陈家镇陈彷公路77号,121.81448694822411,31.50451508591595
庙镇镇大街88号（菜场门口）,121.29235221007738,30.80872709827163
程桥镇小港路389号,121.1410694271424,30.976454224406854
裕安镇裕安公路20号,121.40355686271847,31.62856998440405
新河镇新开河路695号,121.52899416455455,31.58762336713274
上海市崇明区长兴镇渔傲路132弄30号113室,121.77430812147578,31.36506195204008
长兴乡江南大道2401号1号配套楼106室,121.74459460063059,31.3746221631985
崇明县长兴镇团结村211号辅房,121.65043933382289,31.418909888822935
长兴乡凤蓉路970号商铺,121.70440600840307,31.40173532826307
崇明区长兴乡凤凰街116号,121.69457748522511,31.394549130639028
上海市崇明区堡镇镇堡港村922号1室9-2B,121.62380053307724,31.539180964940908
上海市崇明县陈家镇安通路171号106室,121.854466315217,31.526940701644545
上海市崇明县竖新镇响椿路72号丁,121.60763678305291,31.62099019407886
上海市崇明县长兴岛凤卫路北侧9-1号,121.71123099141349,31.385747906384665
上海市崇明县长兴镇丰康路11-15.16.17号,121.7073814873031,31.398455130266683
上海市崇明区城桥镇北门路348号,121.39922730773678,31.633290933496305
上海市崇明区新河镇新晨路46号,121.54443615664401,31.62383879049987
崇明县新海一村9号楼101室,121.30322524427521,31.823642846152072
崇明区裕展路702号,121.8537838359355,31.537375829700213
崇明县团城公路1952号,121.58807028050255,31.56998125022759
崇明县陈彷公路3099弄32号,121.75862702740874,31.52457367302011
崇明县港沿镇港沿公路1201号,121.66431251798329,31.595592176650886
崇明县向化镇向化大街168号,121.72789604981072,31.526130910455375
崇明县绿华镇新建路674号,121.22545675249572,31.76944949517664
崇明县建设镇建设公路1808号6幢1室,121.46116507739535,31.66303489145744
崇明县三星镇解放新街28号,121.29405498500206,31.74631071686245
